Paris, Paris (Hauptstadt Frankreichs)
Malabar, Name eines Hundes
Viens!, Komm! (Aufforderung)
papa, Papa
vite (adv.), schnell (Adv.)
Miaou!, Miau!
Ouah, ouah!, Wau, wau!
S.P.A. (la Société Protectrice des Animaux), die S.P.A. (französische Tierschutzgesellschaft)
Qui est-ce?, Wer ist das?
Attention!, Achtung!; Vorsicht!
non, nein
Pardon., Entschuldigung.
Comment?, Wie? (Fragewort)
Tu t’appelles comment?, Wie heißt du?
c’est, das ist
je suis, ich bin
voilà, da ist; da sind
ici, hier; hierher
un chat, eine Katze
un chien, ein Hund
mais, aber
tu es, du bist
de/d’, aus; von
aussi, auch
super (inv.), super; toll
un garçon, ein Junge; ein Bub
une fille, ein Mädchen; eine Tochter
il est, er ist
elle est, sie ist
un animal, ein Tier
Ça ne va pas., Das geht nicht.
une chanson, ein Lied
fantastique, fantastisch; toll
bizarre, komisch; merkwürdig
un copain/une copine (fam.), ein Freund/eine Freundin
une dame, eine Dame; eine Frau
un monsieur, ein Herr; ein Mann
Toulouse, Toulouse
Strasbourg, Straßburg
Brest, Brest
Nice, Nizza
madame …, Frau …
mademoiselle ..., Fräulein …
Bof! (fam.), Na ja; Ach. (ugs.)
un, eins
zéro, null
deux, zwei
trois, drei
quatre, vier
cinq, fünf
six, sechs
sept, sieben
huit, acht
neuf, neun
dix, zehn
onze, elf
douze, zwölf
un style, ein Stil
le reggae, der Reggae
l’électro, Electro
une mélodie, eine Melodie
un rythme, ein Rhythmus
une voix, eine Stimme
