un quartier, ein Stadtviertel
Batignolles, Batignolles (Name eines Viertels in Paris)
le/la dix-septième, "der, die, das siebzehnte"
un arrondissement, ein Arrondissement (ein Verwaltungsbezirk)
une photo, ein Foto
un parc, ein Park
le roller, das Inlineskaten
une avenue, eine Straße; eine Avenue
Interclub 17, Interclub 17 (Name eines Jugendzentrums)
une activité, eine Freizeitbeschäftigung
tout le monde, alle; jeder
une buvette, ein Getränkestand; ein Imbissstand
un taxi, ein Taxi
aller faire qc, etwas tun werden
passer qc, etwas verbringen
la nuit, die Nacht
une entrée, ein Eingang
le soir, der Abend
ce soir, heute Abend
un jour, ein Tag
"A plus, ma puce!", "Bis später, mein Kleines."
une voiture, ein Auto
en voiture, mit dem Auto
loin, weit (Adv.)
à pied, zu Fuß
un week-end, ein Wochenende
un appartement, eine Wohnung
une pièce, ein Zimmer
une salle de bains, ein Bad; ein Badezimmer
un salon, ein Wohnzimmer
une table, ein Tisch
Chabane, französischer Familienname
un repas, ein Essen; eine Mahlzeit
minuit (m.), Mitternacht; 12 Uhr nachts
le matin, der Morgen
un tour, eine Tour; ein Rundgang
le samedi, samstags
l’après-midi (m.) (f.), der Nachmittag; nachmittags
faire du judo, Judo machen; Judo betreiben
l’athlétisme (m.), die Leichtathletik
je voudrais …, ich möchte gerne …
le bruit, das Geräusch; der Lärm
déjà, schon
tard, spät
une cuisine, eine Küche
quitter qc, etwas verlassen
des spaghettis (m.) (pl.), Spaghetti
la natation, das Schwimmen
la danse, der Tanz; das Tanzen
le théâtre, das Theater
une guitare, eine Gitarre
comme, als
pour faire qc, um etwas zu tun
à droite, (nach) rechts
tourner, drehen; abbiegen
à gauche, (nach) links
une boulangerie, eine Bäckerei
tout droit, geradeaus
un café, ein Café
traverser qc, etwas überqueren
un carrefour, eine Kreuzung
"Vous pouvez répéter, s’il vous plaît?", Können Sie bitte wiederholen?
Merci beaucoup!, Vielen Dank!
la poste, die Post
une piscine, ein Schwimmbad
un champion/une championne, ein Champion; ein Meister/eine Meisterin
un numéro, eine Nummer
un combat, ein Kampf
vraiment, wirklich
même, sogar
une interview, ein Interview
est-ce que, Frageformel
gagner qc, etwas gewinnen
poser qc, etw. setzen; etwas stellen; etwas legen
une question, eine Frage
Comment est-ce que ...?, Wie ... ?
tomber, fallen
faire mal, wehtun
pourquoi ?, warum?
parce que, weil
trop, zu viel; zu sehr
C’est trop nul ! (fam.), Das ist zu blöd! (ugs.)
avoir mal, Schmerzen haben
le parc des Batignolles, der Park von Batignolles
un portable, ein Handy; ein Mobiltelefon
un SMS, eine SMS
un film, ein Film
avoir soif, Durst haben
prendre qc, etwas nehmen; hier: essen
une gaufre, eine Waffel
Ça coûte combien?, Wie viel kostet das?
quarante, vierzig
quarante-et-un, einundvierzig
quarante-deux, zweiundvierzig
quarante-trois, dreiundvierzig
quarante-quatre, vierundvierzig
quarante-cinq, fünfundvierzig
quarante-six, sechsundvierzig
quarante-sept, siebenundvierzig
quarante-huit, achtundvierzig
quarante-neuf, neunundvierzig
cinquante, fünfzig
cinquante-et-un, einundfünfzig
cinquante-deux, zweiundfünfzig
cinquante-trois, dreiundfünfzig
cinquante-quatre, vierundfünfzig
cinquante-cinq, fünfundfünfzig
cinquante-six, sechsundfünfzig
cinquante-sept, siebenundfünfzig
cinquante-huit, achtundfünfzig
cinquante-neuf, neunundfünfzig
soixante, sechzig
soixante-et-un, einundsechzig
soixante-deux, zweiundsechzig
soixante-trois, dreiundsechzig
soixante-quatre, vierundsechzig
soixante-cinq, fünfundsechzig
soixante-six, sechsundsechzig
soixante-sept, siebenundsechzig
soixante-huit, achtundsechzig
soixante-neuf, neunundsechzig
soixante-dix, siebzig
soixante-et-onze, einundsiebzig
soixante-douze, zweiundsiebzig
soixante-treize, dreiundsiebzig
soixante-quatorze, vierundsiebzig
soixante-quinze, fünfundsiebzig
soixante-seize, sechsundsiebzig
soixante-dix-sept, siebenundsiebzig
soixante-dix-huit, achtundsiebzig
soixante-dix-neuf, neunundsiebzig
quatre-vingts, achtzig
quatre-vingt-un, einundachtzig
quatre-vingt-deux, zweiundachtzig
quatre-vingt-trois, dreiundachtzig
quatre-vingt-quatre, vierundachtzig
quatre-vingt-cinq, fünfundachtzig
quatre-vingt-six, sechsundachtzig
quatre-vingt-sept, siebenundachtzig
quatre-vingt-huit, achtundachtzig
quatre-vingt-neuf, neunundachtzig
quatre-vingt-dix, neunzig
quatre-vingt-onze, einundneunzig
quatre-vingt-douze, zweiundneunzig
quatre-vingt-treize, dreiundneunzig
quatre-vingt-quatorze, vierundneunzig
quatre-vingt-quinze, fünfundneunzig
quatre-vingt-seize, sechsundneunzig
quatre-vingt-dix-sept, siebenundneunzig
quatre-vingt-dix-huit, achtundneunzig
quatre-vingt-dix-neuf, neunundneunzig
cent, hundert
un euro/des euros, ein Euro/Euro
un centime, ein Cent
un vendeur/une vendeuse, ein Verkäufer/eine Verkäuferin
un coca, eine Cola
une eau minérale, ein Mineralwasser
une crêpe, eine Crêpe
un jus de pomme, ein Apfelsaft
une orange, eine Orange
un diabolo menthe, ein Diabolo Menthe
Ça fait …, Das macht …; Das kostet …
une mouette, eine Möwe
"Ah, ah, ah !", Hahaha! (So lacht man auf Französisch.)
un client/une cliente, ein Kunde/eine Kundin
un stand, "ein Stand, eine Bude"
Bonne journée !, Einen schönen Tag!
