Limoges, Stadt in Südwestfrankreich
une fête, ein Fest; eine Party
la Fête de la musique, die „Fête de la musique“
un chanteur/une chanteuse, ein Sänger/eine Sängerin
un groupe, eine Gruppe
un concert, ein Konzert
intéressant/intéressante, interessant
content/contente, zufrieden; froh; erfreut
les gens (m.) pl., die Leute
un musicien/une musicienne, ein Musiker/eine Musikerin
un journal/des journaux, eine Zeitung; hier: ein Tagebuch
mauvais/mauvaise, schlecht
un problème, ein Problem
très, sehr
bon/bonne, gut
la Finlande, Finnland
Noël (m.), Weihnachten
petit/petite, klein
les vacances (f.) (pl.), der Urlaub; die Ferien
le TGV (train à grande vitesse), der TGV (französischer Hochgeschwindigkeitszug)
triste/triste, traurig
nul/nulle, blöd
grand/grande, groß
une gare, ein Bahnhof
la gare d'Austerlitz, "Pariser Bahnhof, der die Hauptstadt mit den Städten im Südwesten"
une grève, ein Streik
attendre qn/qc, auf jemanden/etwas warten; jemanden/etwas erwarten
téléphoner à qn, mit jemandem telefonieren; jemanden anrufen
Poitiers, "Stadt in Westfrankreich, nördlich von Limoges"
entendre qn/qc, jemanden/etwas hören
perdre qc, etw. verlieren
un voyage, eine Reise
long/longue, lang
une tête, ein Kopf
faire la tête (fam.), schmollen (ugs.)
répondre à qn/qc, jemandem/auf etwas antworten
rouge/rouge, rot
vert/verte, grün
bleu/bleue, blau
avoir envie de faire pipi (fam.), Pipi machen müssen (ugs.)
une pause, eine Pause
descendre, hinuntergehen; aussteigen
tout à coup, plötzlich
un loup, ein Wolf
Les loups de Chabrières, "Tierpark in der Nähe von Limoges, in dem Wölfe gehalten werden"
joli/jolie, hübsch
une faim de loup (fam.), ein Bärenhunger (ugs.)
un plat, ein Gericht; ein Gang (beim Essen)
une couleur, eine Farbe
blanc/blanche, weiß
noir/noire, schwarz
gris/grise, grau
jaune/jaune, gelb
un poème, ein Gedicht
un boulevard, ein Boulevard
Boulevard Louis Blanc, große Straße in Limoges
dire qc à qn, jemandem etwas sagen
la porcelaine, das Porzellan
surtout, vor allem
Saint-Aurélien, der heilige Aurelius (Name eines Heiligen und einer ihm geweihten
la place Saint-Pierre, Name eines Platzes in Limoges
un bal, ein Ball; ein Fest
rester, bleiben
danser, tanzen
donner qc à qn, jemandem etwas geben
parler à qn, mit jemandem sprechen
une casquette, eine Kappe; eine Schirmmütze
demander (qc) à qn, jemanden (nach etwas) fragen; jemanden (um etwas) bitten; etw.
entre, zwischen
montrer qc à qn, jemandem etwas zeigen
autre/autre, anderer/andere/anderes
aider qn, jemandem helfen
Quoi?, Was?
un éléphant, ein Elefant
la pop, der Pop
le hip-hop, der Hip-Hop
préféré/préférée, bevorzugt; Lieblings-
un texte, ein Text
un piano, ein Klavier; ein Piano
un accordéon, ein Akkordeon
un courriel, eine E-Mail
cher/chère, Lieber …/Liebe … (Anrede); teuer
enfin, endlich; schließlich
peu de (+ Nomen), wenig(e)
ne … plus de (+ Nomen), kein/keine ... mehr
beaucoup de (+ Nomen), viel(e)
ne … pas de (+ Nomen), kein/keine
combien de (+ Nomen), wie viel
j’aimerais faire qc, ich würde gern (etw. tun)
rencontrer qn, jemanden treffen; jemandem begegnen
une chose, eine Sache; ein Ding
oublier (de faire) qc, "etwas vergessen; vergessen, etw. zu tun"
